DATE,DEXUSUK
1982-06-17,1.7430
1982-06-18,1.7385
1982-06-21,1.7270
1982-06-22,1.7365
1982-06-23,1.7295
1982-06-24,1.7330
1982-06-25,1.7190
1982-06-28,1.7185
1982-06-29,1.7350
1982-06-30,1.7355
1982-07-01,1.7350
1982-07-02,1.7310
1982-07-05,.
1982-07-06,1.7238
1982-07-07,1.7105
1982-07-08,1.7105
1982-07-09,1.7245
1982-07-12,1.7325
1982-07-13,1.7225
1982-07-14,1.7230
1982-07-15,1.7215
1982-07-16,1.7240
1982-07-19,1.7350
1982-07-20,1.7390
1982-07-21,1.7560
1982-07-22,1.7475
1982-07-23,1.7665
1982-07-26,1.7640
1982-07-27,1.7562
1982-07-28,1.7435
1982-07-29,1.7380
1982-07-30,1.7380
1982-08-02,1.7535
1982-08-03,1.7485
1982-08-04,1.7278
1982-08-05,1.7155
1982-08-06,1.7140
1982-08-09,1.7000
1982-08-10,1.6975
1982-08-11,1.6980
1982-08-12,1.6980
1982-08-13,1.7020
1982-08-16,1.7025
1982-08-17,1.7070
1982-08-18,1.7240
1982-08-19,1.7235
1982-08-20,1.7415
1982-08-23,1.7440
1982-08-24,1.7665
1982-08-25,1.7605
1982-08-26,1.7600
1982-08-27,1.7360
1982-08-30,1.7085
1982-08-31,1.7205
1982-09-01,1.7205
1982-09-02,1.7350
1982-09-03,1.7305
1982-09-06,.
1982-09-07,1.7278
1982-09-08,1.7210
1982-09-09,1.7280
1982-09-10,1.7125
1982-09-13,1.7053
1982-09-14,1.7075
1982-09-15,1.7065
1982-09-16,1.7075
1982-09-17,1.7130
1982-09-20,1.7105
1982-09-21,1.7100
1982-09-22,1.7215
1982-09-23,1.7105
1982-09-24,1.7085
1982-09-27,1.6958
1982-09-28,1.6905
1982-09-29,1.6955
1982-09-30,1.6945
1982-10-01,1.6980
1982-10-04,1.6833
1982-10-05,1.6865
1982-10-06,1.6925
1982-10-07,1.7035
1982-10-08,1.7045
1982-10-11,.
1982-10-12,1.7240
1982-10-13,1.7085
1982-10-14,1.7060
1982-10-15,1.7040
1982-10-18,1.7080
1982-10-19,1.7070
1982-10-20,1.6973
1982-10-21,1.6957
1982-10-22,1.6980
1982-10-25,1.6805
1982-10-26,1.6860
1982-10-27,1.6848
1982-10-28,1.6780
1982-10-29,1.6770
1982-11-01,1.6825
1982-11-02,.
1982-11-03,1.6795
1982-11-04,1.6665
1982-11-05,1.6625
1982-11-08,1.6505
1982-11-09,1.6603
1982-11-10,1.6625
1982-11-11,.
1982-11-12,1.6518
1982-11-15,1.6315
1982-11-16,1.6205
1982-11-17,1.6015
1982-11-18,1.6030
1982-11-19,1.6195
1982-11-22,1.5940
1982-11-23,1.5972
1982-11-24,1.5955
1982-11-25,.
1982-11-26,1.5925
1982-11-29,1.6062
1982-11-30,1.6320
1982-12-01,1.6285
1982-12-02,1.6365
1982-12-03,1.6410
1982-12-06,1.6200
1982-12-07,1.6320
1982-12-08,1.6270
1982-12-09,1.6120
1982-12-10,1.6100
1982-12-13,1.6070
1982-12-14,1.6165
1982-12-15,1.6140
1982-12-16,1.6200
1982-12-17,1.6000
1982-12-20,1.6105
1982-12-21,1.6045
1982-12-22,1.6070
1982-12-23,1.5950
1982-12-24,1.6000
1982-12-27,1.6050
1982-12-28,1.6190
1982-12-29,1.6270
1982-12-30,1.6165
1982-12-31,1.6180
