Date;Price
Apr 22, 2015;7028.24
Apr 21, 2015;7062.93
Apr 20, 2015;7052.13
Apr 17, 2015;6994.63
Apr 16, 2015;7060.45
Apr 15, 2015;7096.78
Apr 14, 2015;7075.26
Apr 13, 2015;7064.3
Apr 10, 2015;7089.77
Apr 09, 2015;7015.36
Apr 08, 2015;6937.41
Apr 07, 2015;6961.77
Apr 02, 2015;6833.46
Apr 01, 2015;6809.5
Mar 31, 2015;6773.04
Mar 30, 2015;6891.43
Mar 27, 2015;6855.02
Mar 26, 2015;6895.33
Mar 25, 2015;6990.97
Mar 24, 2015;7019.68
Mar 23, 2015;7037.67
Mar 20, 2015;7022.51
Mar 19, 2015;6962.32
Mar 18, 2015;6945.2
Mar 17, 2015;6837.61
Mar 16, 2015;6804.08
Mar 13, 2015;6740.58
Mar 12, 2015;6761.07
Mar 11, 2015;6721.51
Mar 10, 2015;6702.84
Mar 09, 2015;6876.47
Mar 06, 2015;6911.8
Mar 05, 2015;6961.14
Mar 04, 2015;6919.24
Mar 03, 2015;6889.13
Mar 02, 2015;6940.64
Feb 27, 2015;6946.66
Feb 26, 2015;6949.73
Feb 25, 2015;6935.38
Feb 24, 2015;6949.63
Feb 23, 2015;6912.16
Feb 20, 2015;6915.2
Feb 19, 2015;6888.9
Feb 18, 2015;6898.08
Feb 17, 2015;6898.13
Feb 16, 2015;6857.05
Feb 13, 2015;6873.52
Feb 12, 2015;6828.11
Feb 11, 2015;6818.17
Feb 10, 2015;6829.12
Feb 09, 2015;6837.15
Feb 06, 2015;6853.44
Feb 05, 2015;6865.93
Feb 04, 2015;6860.02
Feb 03, 2015;6871.8
Feb 02, 2015;6782.55
Jan 30, 2015;6749.4
Jan 29, 2015;6810.6
Jan 28, 2015;6825.94
Jan 27, 2015;6811.61
Jan 26, 2015;6852.4
Jan 23, 2015;6832.83
Jan 22, 2015;6796.63
Jan 21, 2015;6728.04
Jan 20, 2015;6620.1
Jan 19, 2015;6585.53
Jan 16, 2015;6550.27
Jan 15, 2015;6498.78
Jan 14, 2015;6388.46
Jan 13, 2015;6542.2
Jan 12, 2015;6501.42
Jan 09, 2015;6501.14
Jan 08, 2015;6569.96
Jan 07, 2015;6419.83
Jan 06, 2015;6366.51
Jan 05, 2015;6417.16
Jan 02, 2015;6547.8
Dec 31, 2014;6566.09
Dec 30, 2014;6547
Dec 29, 2014;6633.51
Dec 24, 2014;6609.93
Dec 23, 2014;6598.18
Dec 22, 2014;6576.74
Dec 19, 2014;6545.27
Dec 18, 2014;6466
Dec 17, 2014;6336.48
Dec 16, 2014;6331.83
Dec 15, 2014;6182.72
Dec 12, 2014;6300.63
Dec 11, 2014;6461.7
Dec 10, 2014;6500.04
Dec 09, 2014;6529.47
Dec 08, 2014;6672.15
Dec 05, 2014;6742.84
Dec 04, 2014;6679.37
Dec 03, 2014;6716.63
Dec 02, 2014;6742.1
Dec 01, 2014;6656.37
Nov 28, 2014;6722.62
Nov 27, 2014;6723.42
Nov 26, 2014;6729.17
Nov 25, 2014;6731.14
Nov 24, 2014;6729.79
Nov 21, 2014;6750.76
Nov 20, 2014;6678.9
Nov 19, 2014;6696.6
Nov 18, 2014;6709.13
Nov 17, 2014;6671.97
Nov 14, 2014;6654.37
Nov 13, 2014;6635.45
Nov 12, 2014;6611.04
Nov 11, 2014;6627.4
Nov 10, 2014;6611.25
Nov 07, 2014;6567.24
Nov 06, 2014;6551.15
Nov 05, 2014;6539.14
Nov 04, 2014;6453.97
Nov 03, 2014;6487.97
Oct 31, 2014;6546.47
Oct 30, 2014;6463.55
Oct 29, 2014;6453.87
Oct 28, 2014;6402.17
Oct 27, 2014;6363.46
Oct 24, 2014;6388.73
Oct 23, 2014;6419.15
Oct 22, 2014;6399.73
Oct 21, 2014;6372.33
Oct 20, 2014;6267.07
Oct 17, 2014;6310.29
Oct 16, 2014;6195.91
Oct 15, 2014;6211.64
Oct 14, 2014;6392.68
Oct 13, 2014;6366.24
Oct 10, 2014;6339.97
Oct 09, 2014;6431.85
Oct 08, 2014;6482.24
Oct 07, 2014;6495.58
Oct 06, 2014;6563.65
Oct 03, 2014;6527.91
Oct 02, 2014;6446.39
Oct 01, 2014;6557.52
Sep 30, 2014;6622.72
Sep 29, 2014;6646.6
Sep 26, 2014;6649.39
Sep 25, 2014;6639.71
Sep 24, 2014;6706.27
Sep 23, 2014;6676.08
Sep 22, 2014;6773.63
Sep 19, 2014;6837.92
Sep 18, 2014;6819.29
Sep 17, 2014;6780.9
Sep 16, 2014;6792.24
Sep 15, 2014;6804.21
Sep 12, 2014;6806.96
Sep 11, 2014;6799.62
Sep 10, 2014;6830.11
Sep 09, 2014;6829
Sep 08, 2014;6834.77
Sep 05, 2014;6855.1
Sep 04, 2014;6877.97
Sep 03, 2014;6873.58
Sep 02, 2014;6829.17
Sep 01, 2014;6825.31
Aug 29, 2014;6819.75
Aug 28, 2014;6805.8
Aug 27, 2014;6830.66
Aug 26, 2014;6822.76
Aug 22, 2014;6775.25
Aug 21, 2014;6777.66
Aug 20, 2014;6755.48
Aug 19, 2014;6779.31
Aug 18, 2014;6741.25
Aug 15, 2014;6689.08
Aug 14, 2014;6685.26
Aug 13, 2014;6656.68
Aug 12, 2014;6632.42
Aug 11, 2014;6632.82
Aug 08, 2014;6567.36
Aug 07, 2014;6597.37
Aug 06, 2014;6636.16
Aug 05, 2014;6682.48
Aug 04, 2014;6677.52
Aug 01, 2014;6679.18
Jul 31, 2014;6730.11
Jul 30, 2014;6773.44
Jul 29, 2014;6807.75
Jul 28, 2014;6788.07
Jul 25, 2014;6791.55
Jul 24, 2014;6821.46
Jul 23, 2014;6798.15
Jul 22, 2014;6795.34
Jul 21, 2014;6728.44
Jul 18, 2014;6749.45
Jul 17, 2014;6738.32
Jul 16, 2014;6784.67
Jul 15, 2014;6710.45
Jul 14, 2014;6746.14
Jul 11, 2014;6690.17
Jul 10, 2014;6672.37
Jul 09, 2014;6718.04
Jul 08, 2014;6738.45
Jul 07, 2014;6823.51
Jul 04, 2014;6866.05
Jul 03, 2014;6865.21
Jul 02, 2014;6816.37
Jul 01, 2014;6802.92
Jun 30, 2014;6743.94
Jun 27, 2014;6757.77
Jun 26, 2014;6735.12
Jun 25, 2014;6733.62
Jun 24, 2014;6787.07
Jun 23, 2014;6800.56
Jun 20, 2014;6825.2
Jun 19, 2014;6808.11
Jun 18, 2014;6778.56
Jun 17, 2014;6766.77
Jun 16, 2014;6754.64
Jun 13, 2014;6777.85
Jun 12, 2014;6843.11
Jun 11, 2014;6838.87
Jun 10, 2014;6873.55
Jun 09, 2014;6875
Jun 06, 2014;6858.21
Jun 05, 2014;6813.49
Jun 04, 2014;6818.63
Jun 03, 2014;6836.3
Jun 02, 2014;6864.1
May 30, 2014;6844.51
May 29, 2014;6871.29
May 28, 2014;6851.22
May 27, 2014;6844.94
May 23, 2014;6815.75
May 22, 2014;6820.56
May 21, 2014;6821.04
May 20, 2014;6802
May 19, 2014;6844.55
May 16, 2014;6855.81
May 15, 2014;6840.89
May 14, 2014;6878.49
May 13, 2014;6873.08
May 12, 2014;6851.75
May 09, 2014;6814.57
May 08, 2014;6839.25
May 07, 2014;6796.44
May 06, 2014;6798.56
May 02, 2014;6822.42
May 01, 2014;6808.87
Apr 30, 2014;6780.03
Apr 29, 2014;6769.91
Apr 28, 2014;6700.16
Apr 25, 2014;6685.69
Apr 24, 2014;6703
Apr 23, 2014;6674.74
Apr 22, 2014;6681.76
Apr 17, 2014;6625.25
Apr 16, 2014;6584.17
Apr 15, 2014;6541.61
Apr 14, 2014;6583.76
Apr 11, 2014;6561.7
Apr 10, 2014;6641.97
Apr 09, 2014;6635.61
Apr 08, 2014;6590.69
Apr 07, 2014;6622.84
